NO;LOKASI PENGUNGSIAN;ALAMAT
9;Masjid Al-Atiqa;Jl. Kp. Melayu Besar Jl. Mesjid 1, RT.1/RW.1, Kb. Baru, Kec. Tebet, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12830
10;GOR Kecamatan Kebayoran Lama;70 Jalan Peninggaran Barat IV No. 3, Jl. Peninggaran Barat III No.73, RT.12/RW.11, Kby. Lama Utara, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12240
11;GOR Peninggaran;Komp. Seskoal, RT.1/RW.11, RT.1/RW.11, Cipulir, Kec. Kebayoran Lama, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12230
12;RPTRA Dwi Chandra Loka;4, RT.4/RW.9, North Kebayoran Lama, Kebayoran Lama, South Jakarta City, Jakarta 12240
13;Menara Mulia;Jl. Gatot Subroto No.Kav 8 / 67 2, RT.2/RW.4, Karet Semanggi, Kecamatan Setiabudi, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12930
14;Masjid Al-Istiqmal;RT.1/RW.6, Tegal Parang, Mampang prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790
15;Masjid Al-Istiqomah;Jl. Masjid Al-Istiqomah No.5, RT.5/RW.5, Tegal Parang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790
16;Masjid Baitul Halim;Jl. Mampang Prapatan V No.3 5, RT.5/RW.3, Tegal Parang, Kec. Mampang Prpt., Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12790
17;Masjid Al Furqon;Jl. jatipadang Utara Dalam, RT.9/RW.2, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540
18;Masjid Ar Ridwan;Jl. Jati Padang Raya Jl. Masjid Al Ridwan No.50 6, RT.6/RW.9, Jati Padang, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12540
19;Yayasan Al Achyar;Jl. Benda Raya No.1, RT.5/RW.4, Cilandak Tim., Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12560
20;Sekolah NIS;Jalan NIS, Jl. Kenanga Terusan Jl. Ampera Raya No.1, RT.4/RW.3, Cilandak Tim., Ps. Minggu, Jakarta, Daerah Khusus Ibukota Jakarta 12560
21;RPTRA Baung;Jl. Baung III No.12 4, RT.4/RW.2, Kebagusan, Ps. Minggu, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12520
22;Yayasan Yatim ;RT 006/05, kalibata, pancoran, jakarta selatan
23;Musholla Ainul Yakin;Jl. G.M.Ainul Yaqin No.27 10, RT.1/RW.9, Kalibata, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12740
24;Masjid Raudatul Solihin;No Jl. Cikoko No.32 1, RT.1/RW.1, Cikoko, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770
25;Musholah Nurul Islam;Jl. Pancoran Barat IXF No.22 8, RT.8/RW.3, Pancoran, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12780
26;SDN 05 Rawajati;Jl. Zeni Ad I No.25 2, RT.2/RW.3, Rawajati, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750
27;Masjid Hizbulwaton;Jl. Zeni Ad 4 No.9, RT.9/RW.3, Rawajati, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750
28;Puskesmas Rawajati;Jl. Binawarga No.11, RT.5/RW.7, Rawajati, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12750
29;Rusun Pengadegan;Jl. Pengadegan Timur I, RT.7/RW.1, Pengadegan, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770
30;GOR Kecamatan Pancoran;Jl. Pengadegan Timur I No.9D, RT.6/RW.1, Pengadegan, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770
31;Kantor Kecamatan Pancoran;Jl. Pengadegan Timur II No.2 4, RT.4/RW.2, Pengadegan, Kec. Pancoran, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12770
32;TPU Kampung Kandang;Jl. Raya Jagakarsa, RT.9/RW.3, Jagakarsa, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12620
33;SMA 97 Brigif;Jl. Brigif II No.2 12, RT.9/RW.6, Ciganjur, Kec. Jagakarsa, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12630
34;Masjid Jami Al Umariyah;Jl. Madrasah, RT.1/RW.4, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330
35;MTS Al-Jihadiah;Jl. Madrasah No.33 1, RT.1/RW.12, Bintaro, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12330
36;Gereja GPIB sejahtera;Jl. Reformasi Gg. Jambe No.15, RT.6/RW.4, Petukangan Utara, Kec. Pesanggrahan, Kota Jakarta Selatan, Daerah Khusus Ibukota Jakarta 12260
JAKARTA TIMUR;;
1;Masjid Istiqomah;Jl. Dermaga No.26 Blok D, RT.13/RW.11, Klender, Kec. Duren Sawit, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13470
2;SDN 03 Bidara Cina;Jalan Setia No. 10, Jatinegara, RT.13/RW.2, Bidara Cina, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13330
3;Posko GOR Otista;Jalan Otista Raya No.121, RT.6/RW.8, Kampung Melayu, RT.JatinegaraRT.13/RW.8, Bidara CinaKecamatan, Jatinegara, East Jakarta City, Jakarta 13330
4;Kantor Kel. Kp. Melayu;Jl. Kb. Pala No.RT.1 3, RT.3/RW.5, Kp. Melayu, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13320
5;SMPN 26 Kp. Melayu;Jl. Kb. Pala I No.28 3, RT.3/RW.5, Kp. Melayu, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13320
6;Masjid Itthadul Ikhwan;Jl. Kebon Pala 1 Tanah Rendah, Gg. XIV No.RT.8, RT.8, RT.7/RW.8, Bidara Cina, Jatinegara, East Jakarta City, Jakarta 13320
7;Kantor Sudin Kesehatan;Jl. Matraman Raya No.218, RT.3/RW.6, Bali Mester, Kecamatan Jatinegara, Kota Jakarta Timur, Daerah Khusus Ibukota Jakarta 13310
